<Feature Name>,<Feature Type>,Name,Nam_XD,Vi_tri,Quy_mo,Van_hanh,Luu_luong,CD_day,<Feature Description>,<Feature Layer Name>,<Index in Layer>,<Last Modified Time>
C. Cao Kênh,Unknown Point Feature,C. Cao Kênh,2004,Km,2 c?a (2*2.2m),T?i : VDV10 *2,11.2m3/s,Cos -1.5 Cos g?i: 2.13,Unknown Point Feature,Cong.shp,13,2020-06-30T22:30:30
C. Cu?i Ngu?n,Unknown Point Feature,C. Cu?i Ngu?n,1968,"Km 4.46 ( Ðê t? Sông Li?u), X? : Gia Ð?c","2 c?a (2.0*3.5), Cánh bê tông c?t thép",T?i  V5,3.5 m3/s,cos - 2.0,Unknown Point Feature,Cong.shp,67,2020-06-30T22:30:30
C. Cá 1,Unknown Point Feature,C. Cá 1,1994,Km.....,1 c?a (1.5*5.0),T?i : ....,..... m3/s,cos - 1.0,Unknown Point Feature,Cong.shp,72,2020-06-30T22:30:30
C. Cá 2,Unknown Point Feature,C. Cá 2,1995,Km 1.0( tuy?n ngoài t? sông C?m),1 c?a (1.5*5.0),T?i : ....,1.3 m3/s,cos - 1.0,Unknown Point Feature,Cong.shp,73,2020-06-30T22:30:30
C. Cái Thán,Unknown Point Feature,C. Cái Thán,2012,"Km 8.8 ( Ðê H?u Ðá B?c), X? : Gia Minh","2 c?a (1.4*2.2),Cánh bê tông c?t thép",T?i  V5*2.,5.4 m3/s,cos - 1.1,Unknown Point Feature,Cong.shp,48,2020-06-30T22:30:30
C. Dýõng Quan,Unknown Point Feature,C. Dýõng Quan,1970,Km 26.3,1 c?a (3.0*4.0),T?i : VDV10.,5.8 m3/s,cos - 1.5,Unknown Point Feature,Cong.shp,33,2020-06-30T22:30:30
C. Hai Gi?,Unknown Point Feature,C. Hai Gi?,1993,Km 0.6(tuy?n ngoài t? Sông C?m),1 c?a (2*2.4),T?i : V5*2.,7.02 m3/s,cos - 1.5,Unknown Point Feature,Cong.shp,71,2020-06-30T22:30:30
C. Hai Giáp,Unknown Point Feature,C. Hai Giáp,1989,Km 0.2 ( Ðê t? Sông Th?i),1 c?a (2.0*3.2),T?i : V5.,2.7 m3/s,cos - 0.8,Unknown Point Feature,Cong.shp,55,2020-06-30T22:30:30
C. Hoà B?nh,Unknown Point Feature,C. Hoà B?nh,1968,Km 1.9 ( Ðê t? Sông Th?i),1 c?a (1.5*2.8),T?i : V5.,1.2 m3/s,cos - 1.0,Unknown Point Feature,Cong.shp,62,2020-06-30T22:30:30
C. Hoàng Pha,Unknown Point Feature,C. Hoàng Pha,2013,Km : 16.120,1 C?a ( 1.0*2.2),T?i V5,1.0 m3/s,Cos -0.5,Unknown Point Feature,Cong.shp,21,2020-06-30T22:30:30
C. Huy?n Ð?i,Unknown Point Feature,C. Huy?n Ð?i,9999,Km 2.93 ( Ðê t? Sông Li?u),1 c?a (1.4*3.6),T?i : V2.,1.2 m3/s,cos - 0.5,Unknown Point Feature,Cong.shp,65,2020-06-30T22:30:30
C. Ki?n b?i Tây,Unknown Point Feature,C. Ki?n b?i Tây,1956,Km : 14+72,2 C?a ( 1.2*1.35),T?i V2 *2,3.9 m3/s,Cos -1.0,Unknown Point Feature,Cong.shp,20,2020-06-30T22:30:30
C. L?i,Unknown Point Feature,C. L?i,2006,Km : 8.02,1 C?a ( 1.5*2.7),T?i V5,1.4 m3/s,Cos 0.5,Unknown Point Feature,Cong.shp,31,2020-06-30T22:30:30
C. Lâm Hoa,Unknown Point Feature,C. Lâm Hoa,1991,Km 21.07,1 c?a (1.2*3.4),T?i V3.,1.32 m3/s,cos - 0.5,Unknown Point Feature,Cong.shp,26,2020-06-30T22:30:30
C. M?c Hoà,Unknown Point Feature,C. M?c Hoà,1964,Km 1.54 ( Ðê H?u Ðá B?c),1 c?a (1.5*1.6),T?i : V3.,1.4 m3/s,cos 0.0,Unknown Point Feature,Cong.shp,69,2020-06-30T22:30:30
C. M?i A,Unknown Point Feature,C. M?i A,2016,Km : 17+340 TSC,1 C?a :(1.5*2.3),T?i V5,1.2 m3/s,Cos ðáy : -1.0,Unknown Point Feature,Cong.shp,22,2020-06-30T22:30:30
C. Mi Sõn,Unknown Point Feature,C. Mi Sõn,2012,Km 2.81( Ðê bi?n B?ch Ð?ng),"1 c?a (2.0*3.5), Cánh COMPOSITE",T?i : V5,2.3 m3/s,cos - 1.7,Unknown Point Feature,Cong.shp,42,2020-06-30T22:30:30
C. Mi?u ch?,Unknown Point Feature,C. Mi?u ch?,2007,Km : 10.4,1 C?a ( 1.5*2.5), T?i V5,1.3 m3/s,Cos 0.5,Unknown Point Feature,Cong.shp,17,2020-06-30T22:30:30
C. Minh Ð?c,Unknown Point Feature,C. Minh Ð?c,2005,Km 2.07( Ðê bi?n B?ch Ð?ng),2 c?a (4.0*4.0),T?i : TÐ5T *2.,22.8 m3/s,cos - 2.0,Unknown Point Feature,Cong.shp,43,2020-06-30T22:30:30
C. Ng? L?o,Unknown Point Feature,C. Ng? L?o,1968,Km 3.44 ( Ðê t? Sông Li?u),1 c?a (1.4*3.5),T?i : V2.,1.2 m3/s,cos - 0.5,Unknown Point Feature,Cong.shp,66,2020-06-30T22:30:30
C. Ng?c Khê,Unknown Point Feature,C. Ng?c Khê,2005,Km : 5.52,2 C?a ( 3.0*3.5),T?i : VDV10 *2,12.0 m3/s,Cos -1.0,Unknown Point Feature,Cong.shp,14,2020-06-30T22:30:30
C. Ng?c Khê c?,Unknown Point Feature,C. Ng?c Khê c?,1956,Km : 5.45,1 C?a ( 1.5*2.1),T?i :,4.0m3/s,Cos 0.0,Unknown Point Feature,Cong.shp,30,2020-06-30T22:30:30
C. Núi M?,Unknown Point Feature,C. Núi M?,1995,Km 14.5 ( Ðê H?u Ðá B?c),1 c?a (1.5*1.9),T?i : V3.,1.2 m3/s,cos - 0.5,Unknown Point Feature,Cong.shp,45,2020-06-30T22:30:30
C. Núi Túc,Unknown Point Feature,C. Núi Túc,1990,Km 2.4 ( Ðê H?u Kinh Th?y),1 c?a (1.2*1.5),T?i : .,1.0 m3/s,cos 1.0,Unknown Point Feature,Cong.shp,60,2020-06-30T22:30:30
C. Núi Ð?t,Unknown Point Feature,C. Núi Ð?t,1968,Km 2.63 ( Ðê t? Sông Th?i),1 c?a (1.5*3.4),T?i : V2.,1.2 m3/s,cos - 1.5,Unknown Point Feature,Cong.shp,63,2020-06-30T22:30:30
C. Phi Li?t,Unknown Point Feature,C. Phi Li?t,1964,Km 8.0 ( Ðê T? Kinh Th?y),4 c?a (4.0*4.2),T?i : TÐ6T *2.,26.8 m3/s,cos - 0.9,Unknown Point Feature,Cong.shp,0,2020-06-30T22:30:30
C. Phù Yên,Unknown Point Feature,C. Phù Yên,1956,Km 0.05 ( Ðê H?u Kinh Th?y),1 c?a (1.8*2.3),T?i : V3.,1.2 m3/s,cos - 0.5,Unknown Point Feature,Cong.shp,4,2020-06-30T22:30:30
C. S? 6,Unknown Point Feature,C. S? 6,2001,"Km 6.9 ( Ðê H?u Ðá B?c), X? : Gia Minh Lýu lý?ng : 1.2 m3/s","1 c?a (1.5*2.7), Cánh bê tông c?t thép",T?i  V5.,1.2 m3/s,cos - 0.5,Unknown Point Feature,Cong.shp,51,2020-06-30T22:30:30
C. S? 8,Unknown Point Feature,C. S? 8,1968,Km 7.45 ( Ðê H?u Ðá B?c),1 c?a (1.4*1.3),T?i : V3.,1.2 m3/s,cos - 0.5,Unknown Point Feature,Cong.shp,50,2020-06-30T22:30:30
C. S? 9,Unknown Point Feature,C. S? 9,1967,"Km 10.4 ( Ðê H?u Ðá B?c), X? : Gia Ð?c","1 c?a (1.4*2.0),Cánh bê tông c?t thép",T?i  V2.,1.2 m3/s,cos - 0.5,Unknown Point Feature,Cong.shp,47,2020-06-30T22:30:30
C. Sáu Phiên,Unknown Point Feature,C. Sáu Phiên,2015,Km 28.3,1 c?a (2.0*2.4),T?i : VDV5.,3.9 m3/s,cos - 1.7,Unknown Point Feature,Cong.shp,34,2020-06-30T22:30:30
C. Sõn 1,Unknown Point Feature,C. Sõn 1,2015,Km 31.72( tuy?n ngoài t? sông C?m),2 c?a (1.2*2.3),T?i : V2*2.,5.7 m3/s,cos - 1.8,Unknown Point Feature,Cong.shp,39,2020-06-30T22:30:30
C. Sõn 2,Unknown Point Feature,C. Sõn 2,1997,Km 14.53( tuy?n ngoài t? sông C?m),2 c?a (2.0*3.0),T?i : VDV5 *2.,4.6 m3/s,cos - 1.2,Unknown Point Feature,Cong.shp,38,2020-06-30T22:30:30
C. Th? L?n,Unknown Point Feature,C. Th? L?n,1968,Km 0.55 ( Ðê t? Sông Th?i),2 c?a (1.6*2.0),T?i : V2*2.,1.5 m3/s,cos - 0.5,Unknown Point Feature,Cong.shp,54,2020-06-30T22:30:30
C. Thái Lai,Unknown Point Feature,C. Thái Lai,2001,Km : 11.86,"1 C?a ( 1.5*2.6), KT Cánh ( 1.85*2.95) Cos ðáy -1.0",T?i V3,1.5 m3/s,cos -1.0,Unknown Point Feature,Cong.shp,18,2020-06-30T22:30:30
C. Trà Tre,Unknown Point Feature,C. Trà Tre,1956,Km : 0.95,1.15*1.1,máy V2,1.2m3/s,cos 0.5,Unknown Point Feature,Cong.shp,5,2020-06-30T22:30:30
C. Táu,Unknown Point Feature,C. Táu,2014,Km 2.18 ( Ðê H?u Ðá B?c),1 c?a (2.0*3.2),T?i : V5.,1.5 m3/s,cos - 1.5,Unknown Point Feature,Cong.shp,70,2020-06-30T22:30:30
C. Tân Hoa,Unknown Point Feature,C. Tân Hoa,1995,Km 23.7,1 c?a (1.2*3.4),T?i V5.,1.2 m3/s,cos - 1.0,Unknown Point Feature,Cong.shp,29,2020-06-30T22:30:30
C. Tân L?p,Unknown Point Feature,C. Tân L?p,1960,Km 30.0,1 c?a (2.0*3.4),T?i : V3.,7.02 m3/s,cos - 1.0,Unknown Point Feature,Cong.shp,37,2020-06-30T22:30:30
C. Tân Ð?c,Unknown Point Feature,C. Tân Ð?c,2005,Km 2.0 ( Ðê bi?n B?ch Ð?ng),12c?a (2.0*3.6),T?i : TÐ5T *2.,4.2 m3/s,cos - 0.5,Unknown Point Feature,Cong.shp,44,2020-06-30T22:30:30
C. Tây HT,Unknown Point Feature,C. Tây HT,1945,Km : 8.41,1 C?a ( buy 80),T?i V,1.2m3/s,Cos 0.5,Unknown Point Feature,Cong.shp,16,2020-06-30T22:30:30
C. Tý?i Sa,Unknown Point Feature,C. Tý?i Sa,1993,Km 12.7 ( Ðê H?u Ðá B?c),1 c?a (1.3*1.8),T?i : V.,1.2 m3/s,cos 0.5,Unknown Point Feature,Cong.shp,46,2020-06-30T22:30:30
C. Ð?i 5,Unknown Point Feature,C. Ð?i 5,2014,Km : 3.97,1 C?a ( 1.5*2.1),T?i V2,1.2m3/s,Cos 0.5,Unknown Point Feature,Cong.shp,10,2020-06-30T22:30:30
C. Ð?i 6,Unknown Point Feature,C. Ð?i 6,2015,Km : 2.71,1 c?a ( 2.0*2.5),T?i V2,1.2m3/s,cos 0.5,Unknown Point Feature,Cong.shp,9,2020-06-30T22:30:30
C. Ð?m 32,Unknown Point Feature,C. Ð?m 32,1956,Km 2.42 ( Ðê H?u Kinh Th?y),1 c?a (1.1*2.3),T?i : V2.,1.4 m3/s,cos 0.5,Unknown Point Feature,Cong.shp,59,2020-06-30T22:30:30
C. Ð?m 330,Unknown Point Feature,C. Ð?m 330,1968,Km 2.76 ( Ðê t? Sông Li?u),1 c?a (1.4*3.2),T?i : V2.,1.5 m3/s,cos - 1.0,Unknown Point Feature,Cong.shp,64,2020-06-30T22:30:30
C. Ð?m Kênh Tràng,Unknown Point Feature,C. Ð?m Kênh Tràng,1969,Km 3+100 (H?u Sông Th?i),"1 c?a (1,0 * 1,7), Cánh phai g? (0,08 * 1,10)",không có t?m ðan, ? m3/s,"Cos ðáy (0,0)",Unknown Point Feature,Cong.shp,77,2020-06-30T22:30:30
C. Ð?m L?i,Unknown Point Feature,C. Ð?m L?i,1956,Km 3.75 ( Ðê H?u Kinh Th?y),1 c?a (2.3*1.85),T?i : V2.,1.1 m3/s,cos 0.5,Unknown Point Feature,Cong.shp,58,2020-06-30T22:30:30
C. Ð?m L?ng,Unknown Point Feature,C. Ð?m L?ng,2001,Km : 7.11,1 C?a ( 1.0*2.1),T?i V5,1.2 m3/s,Cos 0.5,Unknown Point Feature,Cong.shp,15,2020-06-30T22:30:30
C. Ð?m Làng,Unknown Point Feature,C. Ð?m Làng,1956,Km 4.95 ( Ðê H?u Kinh Th?y),1 c?a (1.2*2.4),T?i : V2.,1.1 m3/s,cos 0.5,Unknown Point Feature,Cong.shp,3,2020-06-30T22:30:30
C. Ð?m Re,Unknown Point Feature,C. Ð?m Re,1964,Km 5.2 ( Ðê H?u Kinh Th?y),1 c?a (1.0*1.6),T?i : V1.,1.0 m3/s,cos 0.5,Unknown Point Feature,Cong.shp,57,2020-06-30T22:30:30
C. Ð?m Thý?ng,Unknown Point Feature,C. Ð?m Thý?ng,1980,Km 5.25 ( Ðê H?u Kinh Th?y),1 c?a (1.3*1.95),T?i : V2.,1.1 m3/s,cos 0.5,Unknown Point Feature,Cong.shp,56,2020-06-30T22:30:30
C. Ð?m To,Unknown Point Feature,C. Ð?m To,1956,Km 7.6 ( Ðê H?u Kinh Th?y),1 c?a (1.8*2.3),T?i : V3.,1.2 m3/s,cos 0.5,Unknown Point Feature,Cong.shp,1,2020-06-30T22:30:30
C. Ð?m Tr?o,Unknown Point Feature,C. Ð?m Tr?o,1977,Km 2+100 (H?u Sông Th?i),"Dài thân c?ng : 7,0m, 1 c?a (1,0 * 2,65), Cánh phai g? (0,08 * 1,15)","T?m ðan 3,0m", ? m3/s,"Cos ðáy (0,0)",Unknown Point Feature,Cong.shp,78,2020-06-30T22:30:30
C. Ð?m Ðông,Unknown Point Feature,C. Ð?m Ðông,2008,Km 0.5 ( Ðê h?u Sông Th?i),1 c?a (1.5*2.7),T?i : V5.,1.2 m3/s,cos - 0.5,Unknown Point Feature,Cong.shp,61,2020-06-30T22:30:30
C. Ði?utú,Unknown Point Feature,C. Ði?utú,1968,Km 3.5 ( Ðê H?u Ðá B?c),1 c?a (2.0*2.7),T?i : V3.,2.5 m3/s,cos - 0.7,Unknown Point Feature,Cong.shp,53,2020-06-30T22:30:30
C. Ðá B?c,Unknown Point Feature,C. Ðá B?c,1968,Km 4.7 ( Ðê H?u Ðá B?c),1 c?a (2.0*3.2),T?i : V5.,3.0 m3/s,cos - 1.5,Unknown Point Feature,Cong.shp,52,2020-06-30T22:30:30
C. Ðáy 1,Unknown Point Feature,C. Ðáy 1,1960,Km 30.0,1 c?a (2.0*3.4),T?i : V3.,7.02 m3/s,cos - 1.0,Unknown Point Feature,Cong.shp,36,2020-06-30T22:30:30
C. Ðáy 2,Unknown Point Feature,C. Ðáy 2,1993,Km 1.7( tuy?n ngoài t? sông C?m),2 c?a (2.0*3.2),T?i : T5T *2.,7.2 m3/s,cos - 1.0,Unknown Point Feature,Cong.shp,35,2020-06-30T22:30:30
C. Ðông HT,Unknown Point Feature,C. Ðông HT,1991,Km 9.26,"C. H?pBTCT, 1c?a (1,5x2,9)",T?i V3,"1,4m3/s",Cos -1.0,Unknown Point Feature,Cong.shp,12,2020-06-30T22:30:30
C. Ðông Xuân,Unknown Point Feature,C. Ðông Xuân,2001,Km 8.5( Ðê bi?n B?ch Ð?ng),3 c?a (3.5*3.2),T?i : VDV10 *3.,15.3 m3/s,cos - 1.2,Unknown Point Feature,Cong.shp,41,2020-06-30T22:30:30
C. Ô H?ng,Unknown Point Feature,C. Ô H?ng,1994,Km 3.0 ( tuy?n ngoài t? sông C?m),1 c?a (1.2*4.2),T?i : ....,.... m3/s,cos - 1.0,Unknown Point Feature,Cong.shp,74,2020-06-30T22:30:30
C. Ông L?,Unknown Point Feature,C. Ông L?,1990,Km 2.25 ( tuy?n ngoài t? sông C?m),1 c?a (1.2*4.2),T?i : ....,.... m3/s,cos - 1.0,Unknown Point Feature,Cong.shp,11,2020-06-30T22:30:30
C. Ông Ð?,Unknown Point Feature,C. Ông Ð?,1970,Km 31.64,1 c?a (2.0*3.5),T?i : ., m3/s,cos - 0.5,Unknown Point Feature,Cong.shp,40,2020-06-30T22:30:30
C.Hang ?c,Unknown Point Feature,C.Hang ?c,0,,,,,,Unknown Point Feature,Cong.shp,79,2020-06-30T22:30:30
C.Khu Ninh,Unknown Point Feature,C.Khu Ninh,1956,Km 20.04,1 c?a (1.45*2),T?i V2.,0.8m3/s,cos 0.5,Unknown Point Feature,Cong.shp,24,2020-06-30T22:30:30
C.Lâm Ð?ng,Unknown Point Feature,C.Lâm Ð?ng,2014,Km 20.31,1 c?a (3.0*4.2),T?i VÐV10.,4.5 m3/s,cos -1.5,Unknown Point Feature,Cong.shp,25,2020-06-30T22:30:30
C?ng M? Ð?ng,Unknown Point Feature,C?ng M? Ð?ng,2015,"Km 8.2 ( Ðê H?u Ðá B?c), X? : Gia Minh","1 c?a (1.4*3.3),Cánh bê tông c?t thép",T?i  V2.,1.0 m3/s,cos - 0.5,Unknown Point Feature,Cong.shp,49,2020-06-30T22:30:30
